gene	avgTPM	avgFPKM
Llph-ps1	0	0
Gm13168	0.155	0.275
Rpl30-ps11	0	0
Gm15049	0	0
Gm14732	0	0
Gm12884	0	0
Gm14912	0	0
Gm13337	0.065	0.115
Vmn1r-ps95	0	0
Gm14131	0.02	0.04
Gm14735	0	0
Gm4853	0.135	0.215
Gm12855	0	0
Gm14558	0	0
Itpa-ps1	1.14	1.92
Gm7916	0	0
AA623943	0.235	0.41
Gm13608	1.08	1.855
Gm14293	0	0
Gm12445	0	0
Gm13492	0	0
Gm12338	240.705	402.305
Gm14452	0.005	0.005
Gm13689	0.73	1.24
Gm15368	0	0
Gm11830	0	0
Gm12778	0	0
Gm9311	0.01	0.02
Gm14130	0.185	0.31
Vmn1r-ps108	0	0
Gm13428	0.095	0.16
Gm15560	0.07	0.115
Olfr407-ps1	0	0
Gm12517	0.025	0.04
Gm15233	0	0
Gm13286	0	0
Gm5646	0	0
Gm12508	0.06	0.105
Gm8644	0	0
Amy2-ps1	0	0
Gm14993	0	0
Gm12654	0	0
Gm12768	0	0
Gm11475	0	0
Gm15821	0.005	0.01
Gm11623	0	0
Gm14673	0	0
Gm12311	0	0
Gm12470	0.215	0.37
Gm16204	0	0
Gm13331	2.34	3.94
Gm16200	0.235	0.39
Gm13170	3.28	5.635
Gm13058	0	0
Gm11658	0	0
Gm13325	0	0
Gm7219	0	0
Gm12924	0	0
Gm14884	0	0
Gm12646	0	0
Vmn1r-ps113	0.005	0.01
Gm15781	0.04	0.065
Gm15111	0	0
Slc48a1	3.67	6.23
Gm15193	0	0
Gm37832	0	0
Rps13-ps8	0	0
Gm11990	0	0
Gm12538	0.105	0.17
Gm13940	0	0
Gm12512	0	0
Gm12733	0	0
Gm13077	0.02	0.035
Gm14927	0	0
Gm11553	0	0
Gm11692	0	0
Gm15877	0.01	0.015
Gm14654	0	0
Gm12328	0	0
Ccdc50-ps	0.035	0.055
Gm6427	0	0
Gm15778	0	0
Gm5697	0	0
Gm12411	1.655	2.835
Gm9218	0	0
Gm12425	0	0
Gm11575	0.29	0.505
Gm12635	0	0
Gm13717	0.16	0.27
Rps12-ps5	0	0
Gm13756	0	0
Gm14838	0	0
Gm15032	0	0
Gm12490	0.1	0.17
Gm12192	0.06	0.1
Gm12125	0	0
Gm14138	0	0
Gm15164	0	0
Gm14429	0.075	0.12
Gm12090	0.01	0.02
Gm11279	0.03	0.05
Gm13455	0	0
Gm12611	0.01	0.015
Gm11909	0	0
Gm14129	0	0
Gm14769	0	0
Gm12716	0	0
Gm12926	0.11	0.175
Gm11544	0	0
Gm14926	0	0
Gm11661	0	0
Gm14353	0	0
Gm14413	0.16	0.26
Gm13440	0	0
Gm11936	0	0
Gm11841	2.065	3.55
Gm15467	0.02	0.04
Gm13036	1.265	2.175
Gm15968	0	0
Gm14506	0	0
Gm8312	0	0
Gm14390	0	0
Gm12286	0.535	0.915
Gm13065	0	0
Gm15369	0	0
Gm14681	19.105	31.85
Gm11518	0	0
Gm15953	0.095	0.17
Gm9059	0	0
Gm15294	0.03	0.055
Gm16210	0.06	0.1
Gm12939	0	0
Gm13733	0	0
Gm13651	0.325	0.555
Xlr5e-ps	0	0
Gm12109	0	0
Gm9436	0.01	0.015
Gm12539	0	0
Gm14247	0	0
Rps13-ps7	0	0
5033423K11Rik	0	0
Gm13351	0.1	0.18
Gm14633	0.225	0.385
Gm12793	0	0
Gm5937	0.03	0.055
Gm8809	0	0
Gm6912	0	0
Rps12-ps7	0.03	0.05
Gm14369	0	0
Gm13158	0.06	0.105
Gm14804	0	0
Eif3s6-ps1	0.26	0.44
Gm11498	0	0
Gm12005	0.06	0.105
Gm11443	0	0
Gm8522	0.085	0.145
Gm15071	0	0
Gm15901	0	0
Gm14594	0	0
Gm14973	0	0
Rplp0-ps1	0.505	0.865
Gm9439	0	0
Gm13532	0	0
Gm11605	0.175	0.3
Gm15060	0	0
Gm13022	0.05	0.09
Gm13423	0.245	0.415
Olfr213	0	0
Gm16181	0.065	0.11
Gm15530	0	0
Gm14283	0	0
Gm11354	0	0
Gm5383	0	0
Gm11246	0.21	0.365
Gm15466	0.335	0.585
Gm12077	0	0
Gm14917	0	0
Gm11787	0.01	0.02
Gm14450	0	0
Gm14098	0.015	0.025
Gm11207	0.05	0.09
Gm15544	0	0
Gm15922	0	0
Gm11677	0.405	0.7
Gm12883	0	0
Gm7869	0.005	0.005
Npm3-ps1	0.77	1.3
Gm15697	0.015	0.03
Gm13167	0	0
Gm13000	0.06	0.105
Gm14794	0	0
Gm6184	0.025	0.04
Gm12712	0.24	0.415
Gm11643	0	0
Mdk-ps1	0.04	0.07
Gm12959	0.135	0.225
Gm11874	0	0
Gm14473	0	0
Gm14868	0.215	0.385
Fzd10	6.965	11.925
Rps2-ps13	0.56	0.94
Gm12647	0	0
Gm11774	0	0
Gm13996	0	0
Gm12499	0	0
Gm9166	0	0
Gm12317	0	0
Gm11965	0	0
Gm15971	0.85	1.48
Gm13297	0	0
Olfr660-ps1	0	0
Rpsa-ps5	0.27	0.46
Gm12717	0	0
Gm14714	0	0
Gm12329	0	0
Gm15213	0	0
Atp5k-ps2	0.24	0.43
Gm13890	0	0
Gm6285	0.04	0.07
Gm14603	0	0
Gm12582	0.025	0.045
Gm7927	0	0
Gm11343	0.03	0.05
Gm15022	0	0
Gm11785	0	0
Gm12096	0	0
Gm12170	0	0
Gm12782	0	0
Rps11-ps3	0.08	0.135
Gm14839	0	0
Vmn1r-ps106	0	0
Gm8261	0.02	0.03
Gm13726	0	0
Gm12391	0	0
Gm13882	0.045	0.075
Gm11763	0	0
Gm15931	0	0
Olfr129	0	0
Gm14930	0	0
Hspa9-ps1	0.015	0.035
Gm13785	0.225	0.38
Calr-ps	0.185	0.31
Gm15495	0.035	0.06
Gm12852	0.09	0.165
Gm12740	0	0
Gm14530	0	0
Gm14971	0	0
Olfr359-ps1	0	0
Hmgb1-ps2	0.23	0.395
Mdm4-ps	0.01	0.01
Gm14279	0.165	0.27
Gm14106	0	0
Gm9051	0	0
Gm4911	0	0
Gm5721	0	0
Gm15549	0.35	0.615
Gm13925	0	0
Rpl7a-ps9	0.01	0.02
Gm14870	0	0
Gm12241	0.035	0.06
Gm4995	0.025	0.04
Gm14251	0.105	0.19
Sms-ps	21.005	35.675
Mup-ps23	0	0
Gm12291	0	0
Gm13798	0	0
Gm11460	0	0
Gm6298	0.01	0.015
Gm13738	0.085	0.145
Gm9435	0	0
Gm14677	0	0
2210409E12Rik	5.615	9.39
Gm12067	0	0
Gm12755	0	0
Gm12216	0.045	0.08
Rbpj-ps1	0	0
Gm15381	0.01	0.02
Gm13131	0	0
Gm8302	0	0
Gm13866	0.01	0.015
Gm12420	0	0
Gm14159	0	0
Gm6325	0.04	0.07
Gm21998	0	0
Gm14753	0	0
Gm15152	0	0
Gm15599	0.03	0.055
Gm13281	0	0
Gm11897	0	0
Gm13991	0.315	0.525
Gm5898	0.295	0.495
Gm11893	0.02	0.035
Gm12190	0	0
Anp32b-ps1	0.075	0.135
5730416F02Rik	0	0
Gm9005	0	0
Gm8662	0	0
Gm8152	0	0
Gm14071	0	0
Gm14200	0.36	0.645
Dnmt3l-ps1	0.015	0.03
Gm15282	0	0
Xlr5d-ps	0.01	0.02
Gm14335	0.7	1.195
Gm14901	0	0
Gm14849	0	0
Gm15539	0.29	0.495
Gm11878	3.32	5.45
Gm12713	0.36	0.615
Gm4789	0	0
Gm12806	0	0
Gm14695	0	0
Gm15528	0.165	0.29
Gm13590	0.01	0.015
Gm12722	0	0
Gm12029	0	0
Gm15158	0	0
Gm15626	0	0
Cyp4a28-ps	0	0
BC002163	42.405	72.235
Gm15103	0	0
Gm11420	0.085	0.135
Gm15460	0.14	0.24
Gm13475	0	0
Gm7405	0	0
Gm6897	0	0
Gm13669	0.135	0.245
Gm13770	0.175	0.31
Gm11790	0.02	0.04
Olfr1180	0	0
Gm14649	0	0
Gm13038	0	0
Gm13454	0	0
Gm15220	0	0
Gm13444	0	0
Rap1a-ps2	0	0
Gm7851	0	0
Gm11241	0	0
Prkaca-ps1	0	0
Gm12142	0	0
Gm14925	0	0
Gm15847	0	0
Gm13323	0	0
Gm12281	0	0
Gm13735	0	0
Gm11447	0.02	0.03
Rpl17-ps5	4.305	7.305
Gm14580	0	0
Gm13624	0.025	0.04
Gm14514	0.515	0.855
Olfr650-ps1	0	0
Gm11533	0.105	0.18
Gm14441	0.105	0.175
Gm12413	0	0
Gm12780	0	0
Olfr405-ps1	0	0
Gm15484	0.085	0.155
Gm12401	0	0
Gm12039	0.785	1.415
Gm15002	0.02	0.04
Gm15141	0	0
Gm11488	0.06	0.095
Gm15572	0.03	0.055
Gm15197	0.45	0.78
Gm14983	0	0
Gm15223	0	0
Gm12644	0	0
Gm8858	0	0
Gm13739	0	0
Gm11933	0	0
Gm5385	0	0
Gm14752	0	0
Gm14294	0.01	0.02
Gm15574	0.055	0.1
Gm11821	0.24	0.42
Gm13231	1.75	2.98
Gm6175	0	0
Gm12097	0.175	0.295
Spcs2-ps	0.125	0.215
Gm13188	0	0
Gm11243	0	0
Gm14660	0	0
Gm8864	0.01	0.015
Gm13273	0	0
Gm14212	0.04	0.065
Rpl17-ps10	11.175	18.93
Gm5389	0	0
Gm15067	0	0
Gm5754	0.01	0.015
Gm14985	0	0
Gm15357	0	0
Gm11387	0	0
Gm13419	0	0
Gm11370	0	0
Rpl9-ps1	0	0
Gm13731	0	0
Olfr1147-ps1	0	0
Gm11341	0	0
Gm15986	0	0
Mrps36-ps2	0.13	0.21
Vmn1r-ps127	0	0
Gm11803	0	0
Vmn1r-ps109	0	0
Gm12899	0	0
Gm15209	0	0
Gm14613	0	0
Gm12399	0	0
Selenot-ps	0.015	0.025
Gm12858	0.125	0.225
Gm9062	0	0
Gm11191	0.03	0.05
Rpl31-ps22	0	0
Gm15536	0	0
Gm15105	0	0
Rps11-ps2	0.335	0.56
Gm15211	0	0
Gm12331	0.05	0.075
Gm14767	0.015	0.025
Gm12193	0	0
Gm16186	0	0
Gm11244	0	0
Gm14599	0	0
Gm15039	0	0
Gm15399	0	0
Xlr3e-ps	0	0
Gm11218	0.42	0.72
Gm15149	0	0
Gm9078	0	0
Gm12276	0.47	0.785
Olfr607	0	0
Gm11472	0	0
Gm14512	0	0
Olfr1191-ps1	0	0
Gm14392	0.035	0.055
Gm11600	0	0
Gm15352	0.115	0.2
Gm12178	0	0
Gm12435	0.34	0.585
Gm13626	0	0
Olfr999-ps1	0	0
Ak3l2-ps	0.455	0.78
Gm11594	0	0
Gm16480	0	0
Mageb17-ps	0	0
Olfr383-ps1	0	0
Gm12773	0	0
Gm11873	0.005	0.01
Gm11620	0.68	1.175
Gm13900	0	0
Gm14017	0.195	0.335
Rpl23a-ps2	0.515	0.9
Gm16471	0	0
Gm16057	0	0
Gm14115	0	0
Gm16397	0	0
Gm13600	0	0
Gm11960	0.22	0.37
Gm12482	0.05	0.08
Gm14823	0	0
Gm14895	0	0
Rps8-ps3	0.82	1.44
Gm13702	0	0
Sult2a-ps2	0	0
Dnajb3	0.375	0.645
Gng2-ps1	0	0
Gm14841	0	0
Gm12639	0	0
Gm15746	0	0
Gm13859	0.01	0.02
Gm13408	0.7	1.195
Gm8475	0	0
Gm14517	0	0
Gm11719	0.065	0.12
Gm7153	0.045	0.075
Gm13245	3.97	6.865
Gm13461	5.195	8.75
Gm12488	0.175	0.3
Gm15607	0.065	0.11
Gm6568	0.01	0.02
Gm7189	0	0
Gm13649	0	0
Gm15206	0.025	0.035
Gm12390	0.03	0.045
Gm12954	0	0
Olfr1171-ps1	0	0
Gm15043	0	0
Gm5257	0	0
Gm13216	0	0
Gm11371	0	0
Gm13452	0.03	0.05
Pgam1-ps2	45.48	77.405
Gm11229	0	0
Gm6322	0.01	0.015
Gm15231	0	0
Gm14182	0	0
Gm14991	0	0
Gm12386	0	0
Gm14407	0.245	0.435
Gm11794	0	0
Gm14359	0	0
Gm5764	0	0
Gm11416	0	0
Gm1826	0.395	0.665
H3f3c	7.165	11.985
Gm13081	0.005	0.005
Gm8097	0	0
Gm12271	0	0
Mageb10-ps	0.02	0.03
Rpl17-ps8	13.24	22.215
Gm13724	0.005	0.01
Vmn1r-ps116	0	0
Gm12071	0	0
Gm15653	0.01	0.015
Gm12046	0	0
Gm15923	0	0
Gm12848	0	0
Snrpert	11.46	19.335
Gm11585	2.695	4.535
Gm14464	0	0
Gm12948	0	0
Gm11481	0	0
Gm12105	0.02	0.04
Gm16072	0	0
Ywhaq-ps2	0	0
Gm11220	0	0
Psmb6-ps	0.025	0.04
Gm13745	0	0
Gm15789	0.1	0.17
Gm11923	0	0
Gm15183	0	0
Gm15048	0	0
Gm12726	0.03	0.05
Ftl2-ps	533.825	911.715
Gm12993	0.04	0.07
Rpl5-ps2	0.115	0.19
Mup-ps14	0	0
Gm13904	0.05	0.085
Gm2673	0	0
Gm16242	0	0
Gm1866	0.9	1.505
Pramel	0	0
Gm15785	0.06	0.105
Gm13114	0	0
Gm12661	0	0
Gm8659	0.015	0.025
Olfr260-ps1	0	0
Gm12098	0.15	0.26
Dnmt3c	0.035	0.055
Gm9246	0.005	0.01
Gm14358	0	0
Gm13230	17.585	29.685
Gm14728	0	0
Usp17le-ps	0	0
Gm6441	0	0
Gm12138	0.175	0.3
Gm15753	0.23	0.39
Gm12431	0	0
Gm16481	0	0
Gm13922	0	0
Gm14665	0	0
Gm15928	0	0
Gm11991	0	0
Gm13505	0	0
Gm14039	0	0
Gm15377	0	0
Gm12013	0	0
Glns-ps1	0.105	0.18
Slfn14	0.01	0.01
Gm15320	0	0
Gm15933	0.03	0.05
Mageb16-ps1	0	0
Gm16216	0.035	0.06
Gm13777	1.16	1.995
Rpl19-ps12	0.015	0.025
Gm11196	0.555	0.935
Gm12479	0.01	0.02
Gm14445	0.11	0.19
Gm13915	0	0
Gm13489	0	0
Gm15490	0	0
Gm12188	0	0
Gm4994	0	0
Gm13862	0	0
Cyp2j14-ps	0	0
Gm15720	0.32	0.545
Gm8199	0	0
Gm11809	0	0
Gm16149	0	0
Gm14679	0	0
Gm14975	0	0
Gm13577	1.01	1.705
Gm11824	0.125	0.22
Gm14502	0	0
Gm15799	0.395	0.695
Gm13541	0	0
Gm15236	0.29	0.48
Gm14988	0	0
Gm15660	0.1	0.18
Gm11905	0	0
Gm16463	0	0
Gm13094	0.05	0.09
Gm11212	0	0
Gm13518	0	0
Gm12864	0	0
Gm12788	0	0
Gm12312	0.12	0.21
Rpl23a-ps13	0	0
Gm14570	0.03	0.045
Gm12266	0.025	0.045
Gm13002	0	0
Gm11810	0.035	0.065
Gm13655	0.935	1.595
Gm16464	0.235	0.385
Gm7164	0	0
Gm12008	0	0
Gm12038	0	0
Gm14116	0	0
Gm7910	0	0
Gm11578	0.115	0.185
Gm11350	0	0
Gm14701	0	0
Gm14276	2	3.445
Gm13360	0.45	0.78
Gm7091	0	0
Gm14360	0	0
Gm14656	0.23	0.395
Gm12369	0	0
Gm8617	0.005	0.01
Rpl27-ps2	0.055	0.095
Gm14835	0	0
Mup-ps10	0	0
Gm14877	0	0
Gm14563	0	0
Gm13163	0	0
Gm16005	0	0
Gm11307	0	0
Gm11407	0	0
Gm12230	0	0
Gm12252	0	0
Gm15994	0	0
Gm12428	0.04	0.065
Gm12403	0.405	0.685
Gm13670	0.02	0.035
Gm2768	0	0
Gm4784	0.005	0.005
Gm13641	0	0
Gm5166	0	0
Gm14719	0.275	0.465
Rpl5-ps1	0.06	0.105
Gm12444	0.03	0.045
Gm13034	4.57	7.845
Gm14231	0.06	0.105
Gm8577	0.185	0.315
Gm14504	0	0
Gm15763	0.03	0.045
Gm12871	0	0
Gm4910	0	0
Gm15636	0	0
Gm7722	0	0
Gm7058	0	0
Gm12998	0.01	0.015
Gm15379	0.055	0.09
Gm14382	0.355	0.605
Defa27	0	0
Gm15826	0	0
Gm12102	0	0
Gm15009	0.29	0.525
Gm14314	0	0
Olfr271-ps1	0.025	0.04
Gm1401	0.375	0.645
Gm13602	0.02	0.035
Gm12943	0	0
Gm14865	0	0
Gm15079	0	0
Gm13728	0	0
Gm715	0.08	0.13
Olfr1144-ps1	0	0
Gm8344	0	0
Nap1l2	0.495	0.84
Gm6506	0.04	0.065
Gm16221	0.14	0.24
Gm13326	0	0
Gm11355	0	0
Olfr1172-ps1	0	0
Gm12383	0	0
Gm14234	0	0
Gm14380	0	0
Gng5-ps	0.265	0.475
Gm12443	0	0
Gm3810	0	0
Gm8503	0.09	0.15
Gm6292	0	0
Gm13047	0	0
Gm16074	1.005	1.745
Gm13161	0.775	1.36
Gm12997	0	0
Gm12181	0.055	0.09
Gm13438	0	0
Gm11204	0	0
Gm14639	0.085	0.145
Gm11922	0	0
Gm11822	0	0
Gm12287	0	0
Gm15289	0	0
Gm13808	0	0
Gm7429	0.315	0.53
Gm14999	0	0
Gm14730	0.01	0.015
Gm11188	0	0
Gm12799	0.165	0.28
Gm15547	1.045	1.81
Gm12303	0.025	0.045
Gm12467	0	0
Vmn1r-ps120	0	0
Gm14676	0	0
Gm14375	0.06	0.1
Gm12217	0	0
Gm11675	0.07	0.115
Gm14026	0.065	0.11
Gm14854	0	0
Gm13885	0	0
Gm15807	0	0
Gm13471	0	0
Gm12870	0.08	0.14
Gm5847	0.02	0.035
Gm4886	0	0
Gm14472	0.05	0.09
H3f3a-ps1	0.025	0.045
Gm14069	0	0
Pisd-ps1	12.38	21.48
Gm15333	0	0
Gm14755	0	0
Gm15596	0.02	0.04
Gm5762	0	0
Gm12250	0.1	0.16
Gm12072	0	0
Gm12133	0	0
Gm11450	0	0
Rhox3d-ps	0	0
Gm14032	0	0
Gm12385	0	0
Gm13633	0	0
Gm11198	0	0
Gm2420	0.03	0.045
Gm11358	0	0
Gm13418	0.01	0.015
Gm15770	0.015	0.025
Gm12123	0.02	0.035
Gm12904	0	0
Gm14791	0	0
Gm11996	0	0
Gm11701	0.08	0.135
Gm13296	0	0
Gm16523	0.215	0.365
Vmn1r221	0	0
Gm14933	0	0
Gm14162	0	0
Gm8822	0.28	0.47
Gm11877	0	0
Gm14253	0.255	0.425
Gm9164	0	0
Gm15314	0	0
Gm14615	0	0
Gm12642	0	0
Gm14366	0	0
Gm13801	0	0
Gm13921	0.02	0.04
Gm14287	0	0
Ldha-ps	0	0
Gm13384	0.11	0.19
Gm11984	0.02	0.04
Gm13244	0	0
Gm8401	0.02	0.025
Gm14723	0	0
Gm12327	0	0
Gm14028	0	0
Gm11321	0	0
Gm14143	0.095	0.175
Gm5395	0.13	0.22
Gm14404	0	0
4930415H17Rik	0	0
Gm13622	0.14	0.25
Gm6952	0	0
Gm15036	0	0
Gm12807	0	0
Gm14008	0	0
Gm11260	0	0
Gm13228	1.995	3.41
Vmn1r-ps1	0	0
Gm378	0	0
Gm15565	0	0
Gm13542	0.195	0.33
Gm14990	0	0
Gm11908	0	0
Gm8814	0.015	0.03
Btc	0.02	0.045
Gm5187	0	0
Mup-ps18	0	0
Gm11955	0	0
Gm15754	0.04	0.07
Gm12363	0.04	0.07
Gm11225	0	0
Gm14208	0	0
Gm12313	0	0
Gm3712	0	0
Gm4772	0	0
Gm13754	0	0
Gm12741	0	0
Gm14141	0.065	0.105
Gm14442	0.025	0.04
Gm14415	0.11	0.19
Olfr408-ps1	0.01	0.015
Gm13884	0.02	0.03
Gm12218	0	0
Gm12928	0.205	0.34
Gm14970	0.045	0.085
Gm9670	0.02	0.03
Gm12692	0	0
Mkrn1-ps1	0.03	0.055
Gm12136	0.22	0.375
Gm14938	0	0
Gm15028	0	0
Gm4596	1.185	1.99
Gm15480	0	0
Zfp389	0.05	0.085
Gm14803	0	0
Gm11927	0.18	0.3
Gm14036	0.525	0.88
Gm16017	0	0
Gm15621	0	0
Gm14916	0	0
Gm14799	0	0
Gm16021	0	0
Gm5401	0	0
Gm13045	0	0
Gm13545	0	0
Gm12011	0	0
Gm12016	0	0
Fau-ps1	0	0
Gm13401	0.05	0.085
Gm13303	0	0
Gm12486	0.015	0.03
Gm11414	0.065	0.105
Gm13740	0	0
Gm13126	0.005	0.01
Gm11425	0.055	0.09
Gm6517	0.29	0.5
Gm15004	0	0
Gm6973	0	0
Gm15148	0	0
Gm13292	0.12	0.2
Gm14610	0	0
Olfr1327-ps1	0	0
Gm13742	0	0
Gm13171	0.06	0.095
Tdpx-ps1	0.375	0.62
Gm11231	0	0
Gm9025	0.035	0.055
Gm13813	0	0
Gm11688	6.585	11.39
Gm15136	0.015	0.03
Gm4914	0	0
Gm12686	0	0
Gm12604	0	0
Gm14709	0	0
Gm13863	0	0
Gm15364	0.015	0.025
Gm11676	0	0
Gm15244	0	0
Mageb7-ps	0	0
Gm11894	0.035	0.065
Gm11502	0.005	0.01
Gm12183	2.115	3.6
Gm13665	0.035	0.06
Gm11598	0.17	0.28
Gm13776	0.035	0.06
Gm9430	0.03	0.05
Gm11988	0	0
Gm13685	0	0
Gm8844	0	0
Gm15147	0	0
Gm15765	0.015	0.03
Rab9b-ps1	0.015	0.025
Rps6-ps3	0.485	0.84
Gm6743	0.005	0.015
Gm12980	0.145	0.26
Gm13501	0	0
Kif22-ps	0	0
Gm8213	0	0
Gm7206	0.12	0.215
Gm12242	0	0
Gm11619	0	0
Gm4746	0	0
Gm11687	0.485	0.825
Rps12-ps19	0.11	0.185
H2afb2	0	0
Gm13486	0	0
Gm16177	0.115	0.205
Gm15693	0	0
Gm11919	0	0
Gm11628	0.38	0.68
1700119I11Rik	0	0
Gm14356	0	0
Gm11880	0	0
Gm5909	0.11	0.18
Gm14871	0	0
Gm13687	0	0
Gm12570	0	0
Gm6798	2.265	3.88
Gm40	0	0
Gm12937	0	0
Gm13615	0	0
Gm15195	0	0
Gm11835	0	0
Gm12636	0	0
Gm12229	0.28	0.475
Gm15003	0	0
Gm14816	0	0
Gm9378	0.045	0.07
Rpl15-ps4	0.015	0.025
Gm11793	0.025	0.04
Gm4915	0	0
Gm13937	0	0
Gm15374	0.01	0.015
Gm11452	0.05	0.08
Gm12902	0.2	0.345
Gm13342	0.14	0.23
Gm5757	0	0
Vamp7-ps	0	0
Gm13349	0.185	0.31
Gm12667	0	0
Gm6272	0	0
Gm14067	0	0
Gm8200	0	0
Gm15182	0	0
Gm11199	0.02	0.035
Gm12168	0.19	0.32
Gm11556	0	0
Rpl31-ps6	0.03	0.05
Gm11253	0	0
Gm13712	0	0
Gm7860	0.19	0.335
Gm13456	33.055	56.045
Gm14981	0	0
Gm14704	0	0
Gm15207	0	0
Vmn1r-ps112	0	0
Gm9095	0	0
Gm13311	0	0
Gm14336	0.02	0.035
Gm11667	0.02	0.035
Gm12196	0.06	0.11
Gm14898	0.015	0.025
Olfr1073-ps1	0	0
Gm12377	0	0
Gm14813	0	0
Gm12344	0.04	0.065
Gm15065	0	0
Gm11850	0	0
Gm11404	0	0
Gm15806	0.035	0.055
Gm11406	0	0
Gm5387	0.01	0.015
Snrp1c-ps2	0	0
Gm15157	0	0
Gm15580	0.085	0.14
Gm11726	0	0
Gm15026	0	0
Gm15586	0	0
Gm5255	0	0
Gm11485	0	0
Gm14896	0	0
Gm12634	0	0
Gm15711	0.34	0.605
Gm8737	0	0
Gm11903	0	0
Olfr1268-ps1	0	0
Gm13050	0.94	1.59
Gm12058	0.12	0.2
Olfr1003-ps1	0	0
Gm13527	0	0
Gm11979	0.07	0.115
Gm13182	0	0
Gm13761	0	0
Olfr336-ps1	0.015	0.03
Gm8569	0	0
Gm15387	32.55	54.635
Sult2a-ps1	0	0
Gm12129	0	0
Gm15443	0.6	1.02
Gm12433	0	0
Gm14943	0	0
Gm11558	0	0
Gm12950	0	0
Gm11331	1.725	2.95
Gm15074	0	0
Gm14793	0	0
Gm14227	0.03	0.05
Gm12645	0.165	0.295
Gm15212	0	0
Gm13141	0	0
Gm9673	0.04	0.07
Gm12700	0	0
Gm15021	0	0
Gm8482	0	0
Gm16148	0.135	0.23
Gm14638	0	0
Gm12045	0	0
Gm7670	0	0
Gm15464	0.145	0.245
Gm13829	0	0
Gm7746	0	0
4930503H13Rik	0	0
Gm12518	0	0
Gm12149	0	0
Gm13239	2.66	4.555
Gm6025	0	0
Smt3h2-ps	0.055	0.09
Gm14852	0	0
Gm16219	0.12	0.19
Gm8244	0	0
Rpl7a-ps13	0	0
Gm12632	0	0
Gm15493	0	0
Gm12535	0	0
Gm15204	0	0
Rps13-ps5	0.025	0.045
Gm12566	0	0
Gm5639	0	0
Gm14834	0	0
Gm13365	0.02	0.03
Gm15779	0	0
Gm12900	0	0
Gm14750	0	0
Gm14923	0	0
Gm11248	0	0
Gm12815	0	0
Gm2012	0	0
Rpl30-ps5	0	0
Mup-ps19	0	0
Gm15481	0.015	0.03
Gm12732	0	0
Gm14056	0	0
Gm11366	0.025	0.04
Gm12754	0	0
Gm15358	0	0
Gm14001	0.29	0.51
Gm14725	0	0
Gm15897	0.015	0.025
Gm7857	0	0
Vmn1r-ps125	0	0
Gm14736	0	0
Fau-ps2	0.06	0.105
Gm14612	0	0
Gm11590	0	0
Gm15516	0.21	0.34
Trav13-3	0.11	0.195
Gm8761	0	0
Gm11470	0.005	0.01
Gm13677	0	0
Gm11348	0	0
Gm5393	0	0
Gm14050	0.145	0.235
Gm14006	0	0
Gm11876	0	0
Gm11857	0	0
Gm11914	0.025	0.045
Gm6382	0.315	0.535
Gm11843	0	0
Gm15371	0.01	0.02
Gm12818	0.02	0.04
Gm13469	0	0
Gm14885	0	0
Cyp2j7-ps1	0	0
Gm15349	0	0
Gm12697	0	0
Gm12774	0.155	0.26
Gm12961	0	0
Gm11474	0	0
Gm12124	0.085	0.15
Gm14156	0.04	0.07
Gm14972	0	0
Dynlt1-ps1	12.385	20.595
H2af-ps	0.27	0.46
Gm15190	0.165	0.29
Gm15040	0	0
Gm15316	0	0
Gm12736	0.08	0.145
Gm13792	0	0
Gm14460	0	0
Gm11907	0	0
Gm12515	0	0
Gm15616	0	0
Gm11663	0	0
Gm6881	0	0
Gm15172	0.06	0.105
Gm12362	0.185	0.3
Defa-ps14	0	0
Gm12987	0.475	0.82
Olfr990-ps1	0	0
Gm14721	0	0
Gm15120	0	0
Gm11633	0	0
Rpl31-ps5	0	0
Gm13087	0	0
Gm14928	0.525	0.875
Gm12489	0	0
Gm12087	0	0
Gm11393	0	0
Gm14564	0	0
Gm14416	1.035	1.76
Gm12451	0	0
Gm11424	0	0
Gm13260	0	0
Supt20-ps	0.225	0.385
Gm14845	0.055	0.09
Gm11363	0	0
Rpl23a-ps6	0	0
Gm15153	0	0
Rhox11-ps1	0	0
Gm16394	0	0
Gm5381	0	0
Gm12026	0	0
Gm15422	0	0
Olfr602-ps1	0	0
Gm14127	2.705	4.66
Gm9703	0.13	0.225
Gm12988	0	0
Gm15625	0	0
Gm15181	1.65	2.68
Rps12-ps1	0.485	0.84
Rpl9-ps2	0	0
Gm12156	0.015	0.03
Gm6620	0	0
Gm14899	0.015	0.03
Olfr1021-ps1	0	0
Gm8692	0	0
Gm6923	0	0
Gm13024	0	0
Gm14826	0	0
Gm15546	0.05	0.085
Gm12366	0.705	1.215
Tra2b-ps	0	0
Gm14411	1.915	3.25
1700064H15Rik	0.11	0.19
Gm11622	0.035	0.06
Gm12727	0	0
Gm15793	0.185	0.3
Gm14722	0	0
Gm12803	0	0
Gm381	0.005	0.005
Gm15058	0	0
Gm8805	0	0
Itpa-ps3	0	0
Gm7061	0.025	0.045
Gm15861	0	0
Gm15191	0.15	0.26
Gm13162	0.195	0.345
Rps11-ps5	0	0
Rps19-ps14	0	0
Gm5319	0	0
Gm9126	0	0
Gm15957	0	0
Vmn1r-ps100	0	0
Gm14489	0	0
Gm13396	0	0
Gm13284	0	0
Gm12155	0	0
Gm4875	0.065	0.105
Gm12176	0	0
